# Ingredient -> interaction class map for the Medsy catalog.
# Names are the NORMALIZED form produced by IngredientNormalizer (uppercase,
# salts stripped, synonym parentheticals removed), so they match what the
# evaluator sees. One row per (ingredient, class); an ingredient may repeat.
IBUPROFEN	NSAID
DICLOFENAC	NSAID
KETOPROFEN	NSAID
DEXKETOPROFEN	NSAID
KETOROLAC	NSAID
PIROXICAM	NSAID
TENOXICAM	NSAID
ETORICOXIB	NSAID
ACECLOFENAC	NSAID
LOXOPROFEN	NSAID
ACEMETACIN	NSAID
ACETYLSALICYLIC ACID	NSAID
ACETYLSALICYLIC ACID	ANTIPLATELET
CLOPIDOGREL	ANTIPLATELET
CILOSTAZOL	ANTIPLATELET
WARFARIN	ANTICOAGULANT
RIVAROXABAN	ANTICOAGULANT
APIXABAN	ANTICOAGULANT
ESCITALOPRAM	SSRI_SNRI
CITALOPRAM	SSRI_SNRI
SERTRALINE	SSRI_SNRI
FLUOXETINE	SSRI_SNRI
PAROXETINE	SSRI_SNRI
VORTIOXETINE	SSRI_SNRI
VILAZODONE	SSRI_SNRI
DULOXETINE	SSRI_SNRI
ESCITALOPRAM	SEROTONERGIC
CITALOPRAM	SEROTONERGIC
SERTRALINE	SEROTONERGIC
FLUOXETINE	SEROTONERGIC
PAROXETINE	SEROTONERGIC
VORTIOXETINE	SEROTONERGIC
VILAZODONE	SEROTONERGIC
DULOXETINE	SEROTONERGIC
AMITRIPTYLINE	SEROTONERGIC
CLOMIPRAMINE	SEROTONERGIC
DOTHIEPIN	SEROTONERGIC
TRAZODONE	SEROTONERGIC
SIMVASTATIN	STATIN_CYP3A4
ATORVASTATIN	STATIN_CYP3A4
CLARITHROMYCIN	CYP3A4_INHIBITOR
ITRACONAZOLE	CYP3A4_INHIBITOR
KETOCONAZOLE	CYP3A4_INHIBITOR
VORICONAZOLE	CYP3A4_INHIBITOR
ALLOPURINOL	XO_INHIBITOR
FEBUXOSTAT	XO_INHIBITOR
BISOPROLOL	BETA_BLOCKER
ATENOLOL	BETA_BLOCKER
PROPRANOLOL	BETA_BLOCKER
NEBIVOLOL	BETA_BLOCKER
CAPTOPRIL	ACE_INHIBITOR
LISINOPRIL	ACE_INHIBITOR
RAMIPRIL	ACE_INHIBITOR
PERINDOPRIL	ACE_INHIBITOR
LOSARTAN	ARB
CANDESARTAN	ARB
VALSARTAN	ARB
OLMESARTAN	ARB
IRBESARTAN	ARB
TELMISARTAN	ARB
SPIRONOLACTONE	K_SPARING_DIURETIC
EPLERENONE	K_SPARING_DIURETIC
AMILORIDE	K_SPARING_DIURETIC
TRIAMTERENE	K_SPARING_DIURETIC
FUROSEMIDE	DIURETIC
TORSEMIDE	DIURETIC
HYDROCHLOROTHIAZIDE	DIURETIC
INDAPAMIDE	DIURETIC
XIPAMIDE	DIURETIC
METOLAZONE	DIURETIC
SILDENAFIL	PDE5_INHIBITOR
TADALAFIL	PDE5_INHIBITOR
VARDENAFIL	PDE5_INHIBITOR
TAMSULOSIN	ALPHA_BLOCKER
DOXAZOSIN	ALPHA_BLOCKER
ALFUZOSIN	ALPHA_BLOCKER
TERAZOSIN	ALPHA_BLOCKER
SILODOSIN	ALPHA_BLOCKER
CITALOPRAM	QT_RISK
ESCITALOPRAM	QT_RISK
MOXIFLOXACIN	QT_RISK
LEVOFLOXACIN	QT_RISK
CLARITHROMYCIN	QT_RISK
AZITHROMYCIN	QT_RISK
DOMPERIDONE	QT_RISK
HYDROXYCHLOROQUINE	QT_RISK
AMIODARONE	QT_RISK
ALPRAZOLAM	BENZODIAZEPINE
CHLORDIAZEPOXIDE	BENZODIAZEPINE
CHLORPHENIRAMINE	SEDATIVE
DIPHENHYDRAMINE	SEDATIVE
CHLORPHENOXAMINE	SEDATIVE
KETOTIFEN	SEDATIVE
OXOMEMAZINE	SEDATIVE
BROMPHENIRAMINE	SEDATIVE
CYCLIZINE	SEDATIVE
MELATONIN	SEDATIVE
PIPERAZINE THEOPHYLLINE ETHANOATE	THEOPHYLLINE
